,title,UserRating,CriticRating,Budget,WorldGross
91,Jodaeiye Nader az Simin,8.3,9.5,"$500,000 (estimated)","$22,926,076"
92,Suicide Squad,5.9,4.0,"$175,000,000 (estimated)","$746,846,894"
93,Up,8.2,8.8,"$175,000,000 (estimated)","$735,099,102"
94,Bao,7.5,,,
95,Jojo Rabbit,7.9,5.8,"$14,000,000 (estimated)","$90,335,025"
96,Life of Pi,7.9,7.9,"$120,000,000 (estimated)","$609,016,565"
97,노매드랜드,7.4,9.3,,"$37,379,948"
98,The Great Gatsby,7.2,5.5,"$105,000,000 (estimated)","$353,642,274"
99,Music by Prudence,7.1,,,
100,Druk,7.8,7.9,,"$12,064,587"
101,The Big Short,7.8,8.1,"$28,000,000 (estimated)","$133,440,870"
102,Saul fia,7.5,9.1,"€1,500,000 (estimated)","$6,659,121"
103,Skyfall,7.8,8.1,"$200,000,000 (estimated)","$1,108,569,499"
104,The Young Victoria,7.3,6.4,"$35,000,000 (estimated)","$29,196,409"
105,Blade Runner 2049,8.0,8.1,"$150,000,000 (estimated)","$259,334,548"
106,Arrival,7.9,8.1,"$47,000,000 (estimated)","$203,388,186"
107,Precious,7.3,7.8,"$10,000,000 (estimated)","$63,649,529"
108,Mindenki,8.0,,,
109,The Muppets,7.1,7.5,"$45,000,000 (estimated)","$165,184,237"
110,Silver Linings Playbook,7.7,8.1,"$21,000,000 (estimated)","$236,412,453"
111,Period. End of Sentence.,7.4,,,
112,The Fantastic Flying Books of Mr. Morris Lessmore,7.9,,,
113,Jutopia,8.0,7.8,"$150,000,000 (estimated)","$1,024,121,104"
114,The Revenant,8.0,7.6,"$135,000,000 (estimated)","$532,950,503"
115,Heaven Is a Traffic Jam on the 405,7.4,,,
116,Beginners,7.2,8.1,"$3,200,000 (estimated)","$14,311,701"
117,The New Tenants,6.9,,,
118,Blue Jasmine,7.3,7.8,"$18,000,000 (estimated)","$99,104,804"
119,사운드 오브 메탈,7.8,8.2,,"$516,520"
120,American Factory,7.4,8.6,,
121,The Hateful Eight,7.8,6.8,"$44,000,000 (estimated)","$156,480,177"
122,Hugo,7.5,8.3,"$150,000,000 (estimated)","$185,770,310"
123,미나리,7.5,8.9,,"$15,369,975"
124,Tenet,7.4,6.9,"$205,000,000 (estimated)","$363,656,624"
125,Colette,7.2,,,
126,Carne y Arena,8.4,,,
127,Learning to Skateboard in a Warzone (If You're a Girl),7.5,,,
128,Selma,7.5,8.0,"$20,000,000 (estimated)","$66,787,908"
129,Once Upon a Time... in Hollywood,7.6,8.3,"$90,000,000 (estimated)","$374,565,754"
130,O.J.: Made in America,8.9,,,
131,Lincoln,7.3,8.6,"$65,000,000 (estimated)","$275,293,450"
132,American Sniper,7.3,7.2,"$58,800,000 (estimated)","$547,426,372"
133,Feast,8.2,,,
134,Django Unchained,8.4,8.1,"$100,000,000 (estimated)","$426,074,373"
135,Merida and the Magical Forest,7.1,6.9,"$185,000,000 (estimated)","$538,983,207"
136,The Blind Side,7.6,5.3,"$29,000,000 (estimated)","$309,208,309"
137,Coco,8.4,8.1,"$175,000,000 (estimated)","$807,817,888"
138,Toy Story 4,7.7,8.4,"$200,000,000 (estimated)","$1,073,394,593"
139,The Help,8.0,6.2,"$25,000,000 (estimated)","$216,639,112"
140,Judas and the Black Messiah,7.5,8.5,"$26,000,000 (estimated)","$6,795,355"
141,Stutterer,7.7,,"£5,000 (estimated)",
142,Dunkirk,7.8,9.4,"$100,000,000 (estimated)","$527,016,307"
143,Star Trek: The Beginning,7.9,8.2,"$150,000,000 (estimated)","$385,680,446"
144,Fences,7.2,7.9,"$24,000,000 (estimated)","$64,414,761"
145,The White Helmets,7.5,,,
146,Dear Basketball,7.4,,,
147,Twenty Feet from Stardom,7.4,8.3,"$1,000,000 (estimated)","$5,839,368"
148,The Cove,8.4,8.4,,"$1,187,434"
149,Inside Job,8.2,8.8,"$2,000,000 (estimated)","$7,871,522"
150,Forushande,7.7,8.5,,"$6,953,604"
151,Toy Story 3,8.2,9.2,"$200,000,000 (estimated)","$1,066,970,811"
152,La grande bellezza,7.8,8.6,"€9,200,000 (estimated)","$24,665,023"
153,The Theory of Everything,7.7,7.1,"$15,000,000 (estimated)","$123,726,688"
154,Sinbihan Dongmulsajeon (Mysterious Animal Dictionary),7.3,6.6,"$180,000,000 (estimated)","$814,044,001"
155,Midnight in Paris,7.7,8.1,"$17,000,000 (estimated)","$151,670,143"
156,A Star Is Born,7.6,8.8,"$36,000,000 (estimated)","$436,188,866"
157,First Man,7.3,8.4,"$59,000,000 (estimated)","$105,713,218"
158,The Girl with the Dragon Tattoo,7.8,7.1,"$90,000,000 (estimated)","$232,617,430"
159,The Favourite,7.5,9.1,"$15,000,000 (estimated)","$95,918,706"
160,Historia de un oso,7.7,,,
161,Judy,6.8,6.6,,"$45,987,812"
162,Two Distant Strangers,6.9,,,
163,Hævnen,7.6,6.5,"$5,500,000 (estimated)","$13,004,504"
164,Crisis Hotline: Veterans Press 1,7.5,,,
165,Amy,7.8,8.5,,"$23,706,386"
166,Una mujer fantástica,7.2,8.6,,"$3,839,364"
167,Curfew,7.9,,"$50,000 (estimated)",
168,Anna Karenina,6.6,6.3,"$40,600,000 (estimated)","$68,929,150"
169,Free Solo,8.2,8.3,,"$29,390,279"
170,Hair Love,7.4,,,"$330,661"
171,The Danish Girl,7.1,6.6,"$15,000,000 (estimated)","$64,191,523"
172,Mr Hublot,7.2,,"$295,000 (estimated)",
173,Citizenfour,8.0,8.8,,"$3,780,692"
174,Icarus,7.9,6.8,,
175,프라미싱 영 우먼,7.5,7.3,,"$17,122,775"
176,The Phone Call,7.3,,"£25,000 (estimated)",
